CUST_ID,GENDER,MARITAL_STATUS,NATIONALITY,EDUCATION,EMPLOYMENT,OCCUPATION,AGE_IN_YEARS,NO_OF_DIFFERENT_PRODUCTS,LOAN_DEFAULT,DATE_OF_BIRTH,FIRST_CUSTOMER_OPENING_DATE,weekday
4959,Male,n/a,Greek Cypriot,n/a,n/a,Others,22.822724,1,T,1981-07-04,1995-07-08,5.0
5327,Female,n/a,Greek Cypriot,n/a,University - College Student,n/a,18.297057,2,T,1986-01-12,1995-07-08,6.0
6342,Male,n/a,Greek Cypriot,n/a,Government - Semi-Government,MILITARY,20.052019,3,F,1984-04-11,1995-07-08,2.0
7193,Male,n/a,British,n/a,Private Company / Partnership,Other Businessmen,104.325804,2,F,1900-01-01,1995-07-08,0.0
8280,Female,n/a,British,n/a,n/a,Others,62.138261,1,F,1942-03-11,1995-07-08,2.0
8764,Female,Single,Greek Cypriot,Secondary,Secondary Student,n/a,16.199863,2,F,1988-02-17,1995-07-08,2.0
9578,Male,n/a,British,n/a,n/a,n/a,50.412047,3,F,1953-12-01,1995-07-08,1.0
9946,Male,n/a,British,n/a,n/a,Others,71.904175,4,F,1932-06-04,1995-07-08,5.0
10150,Male,Married,British,n/a,n/a,Others,71.611225,4,F,1932-09-19,1995-07-08,0.0
10292,Male,Married,British,n/a,Retired,n/a,58.464066,4,F,1945-11-12,1995-07-08,0.0
10549,Female,n/a,Greek Cypriot,n/a,University - College Student,n/a,20.391513,3,F,1983-12-09,1995-07-08,4.0
10756,Male,n/a,British,n/a,Retired,n/a,64.281999,4,F,1940-01-18,1995-07-08,3.0
11042,Female,Married,British,n/a,Housewife,n/a,55.285421,4,F,1949-01-16,1995-07-08,6.0
11201,Female,n/a,Other,n/a,n/a,Others,65.237509,1,F,1939-02-03,1995-07-08,4.0
11370,Male,n/a,British,n/a,n/a,MILITARY,57.330595,3,F,1946-12-31,1995-07-08,1.0
11550,Female,n/a,British,n/a,Housewife,n/a,60.536619,4,F,1943-10-17,1995-07-08,6.0
11742,Female,n/a,British,n/a,Housewife,n/a,71.247091,1,F,1933-01-30,1995-07-08,0.0
12032,Male,n/a,Other,n/a,Retired,n/a,55.326489,3,F,1949-01-01,1995-07-08,5.0
12270,Male,n/a,Greek Cypriot,n/a,n/a,Students,15.036277,3,T,1989-04-17,1995-07-08,0.0
12508,Male,n/a,British,n/a,n/a,Others,59.616701,1,F,1944-09-17,1995-07-08,6.0
12809,Female,n/a,Greek Cypriot,n/a,Private Company / Partnership,Restaurant or Hotel Owners,59.504449,3,F,1944-10-28,1995-07-08,5.0
12989,Male,n/a,Other,n/a,n/a,MILITARY,59.509925,1,F,1944-10-26,1995-07-08,3.0
13048,Female,n/a,British,n/a,Selfemployed,Doctors,66.839151,1,F,1937-06-28,1995-07-08,0.0
13240,Female,n/a,British,n/a,Housewife,n/a,57.908282,1,F,1946-06-03,1995-07-08,0.0
13577,Female,n/a,Other,n/a,n/a,Others,43.162218,2,F,1961-03-02,1995-07-08,3.0
13705,Male,n/a,British,n/a,n/a,Others,103.326489,1,F,1901-01-01,1995-07-08,1.0
13804,Male,Married,British,n/a,Private Company / Partnership,Teachers / Professors,45.177276,7,F,1959-02-25,1995-07-08,2.0
14010,Male,Married,British,Secondary,Selfemployed,Other Businessmen,55.819302,5,F,1948-07-05,1995-07-08,0.0
14329,Male,n/a,Greek Cypriot,n/a,Retired,n/a,115.323751,3,F,1889-01-01,1995-07-08,1.0
14695,Male,n/a,Other,n/a,n/a,Others,103.326489,5,F,1901-01-01,1995-07-08,1.0
15028,Female,Married,Greek Cypriot,n/a,Retired,n/a,69.327858,3,F,1935-01-01,1995-07-08,1.0
15493,Male,Married,Greek Cypriot,n/a,Private Company / Partnership,Other Businessmen,50.606434,3,F,1953-09-21,1995-07-08,0.0
16009,Female,n/a,British,n/a,Housewife,Housewives,81.979466,3,F,1922-05-08,1995-07-08,0.0
16200,Male,n/a,Other,n/a,Private Company / Partnership,Clerical Staff,42.151951,1,F,1962-03-06,1995-07-08,1.0
16364,Male,Married,Other,n/a,Retired,n/a,80.183436,3,F,1924-02-23,1995-07-08,5.0
16643,Male,Single,British,n/a,Retired,n/a,67.088296,1,F,1937-03-29,1995-07-08,0.0
16864,Male,Married,British,n/a,Retired,n/a,76.681725,4,F,1927-08-25,1995-07-08,3.0
17129,Male,n/a,British,n/a,n/a,Others,78.965092,1,F,1925-05-13,1995-07-08,2.0
17451,Male,n/a,British,n/a,Retired,n/a,62.924025,4,F,1941-05-28,1995-07-08,2.0
17602,Female,n/a,Other,n/a,Housewife,n/a,44.944559,4,F,1959-05-21,1995-07-08,3.0
17873,Female,n/a,British,n/a,Housewife,n/a,36.654346,1,F,1967-09-04,1995-07-08,0.0
18068,Male,n/a,British,n/a,Private Company / Partnership,Skilled Worker,50.239562,3,F,1954-02-02,1995-07-08,1.0
18301,Female,n/a,Greek Cypriot,n/a,Retired,n/a,68.232717,1,F,1936-02-05,1995-07-08,2.0
18529,Female,n/a,British,n/a,Retired,n/a,62.433949,3,F,1941-11-23,1995-07-08,6.0
18635,Female,n/a,British,n/a,Housewife,Housewives,64.928131,5,F,1939-05-27,1995-07-08,5.0
18944,Male,n/a,British,n/a,Retired,n/a,64.273785,4,F,1940-01-21,1995-07-08,6.0
19050,Female,n/a,Greek Cypriot,n/a,n/a,Other Businessmen,48.183436,1,F,1956-02-23,1995-07-08,3.0
19244,Male,n/a,Other,n/a,Selfemployed,Technicians,42.327173,4,F,1962-01-01,1995-07-08,0.0
19441,Male,Married,British,n/a,Retired,n/a,74.099932,1,F,1930-03-25,1995-07-08,1.0
19649,Female,n/a,British,n/a,Private Company / Partnership,Other Professionals,35.641342,3,T,1968-09-08,1991-10-02,6.0
19760,Female,n/a,Other,n/a,Retired,n/a,68.449008,1,F,1935-11-18,1995-07-08,0.0
20012,Female,n/a,British,n/a,n/a,Others,63.983573,5,F,1940-05-06,1995-07-08,0.0
20239,Male,n/a,British,n/a,n/a,Others,57.305955,4,F,1947-01-09,1995-07-08,3.0
20411,Female,n/a,Other,n/a,n/a,Other Professionals,56.394251,1,F,1947-12-08,1995-07-08,0.0
20899,Female,n/a,Other,n/a,Housewife,n/a,56.544832,1,F,1947-10-14,1995-07-08,1.0
21070,Female,n/a,Other,n/a,Private Company / Partnership,Other Businessmen,51.526352,3,F,1952-10-20,1995-07-08,0.0
21279,Female,n/a,Greek,n/a,n/a,n/a,40.566735,1,F,1963-10-06,1995-07-08,6.0
21465,Male,n/a,British,n/a,Partial Employment,Other Professionals,57.708419,4,F,1946-08-15,1995-07-08,3.0
21580,Female,Married,British,n/a,Private Company / Partnership,Clerical Staff,52.344969,1,F,1951-12-26,1995-07-08,2.0
21713,Female,n/a,British,n/a,n/a,Others,71.444216,1,F,1932-11-19,1995-07-08,5.0
21928,Male,n/a,British,n/a,Retired,n/a,61.790554,3,F,1942-07-16,1995-07-08,3.0
22089,Female,n/a,Other,n/a,Housewife,n/a,43.033539,5,F,1961-04-18,1995-07-08,1.0
22284,Male,n/a,Greek Cypriot,n/a,Selfemployed,Other Professionals,49.273101,4,F,1955-01-21,1995-07-08,4.0
22469,Male,n/a,British,n/a,Retired,n/a,65.883641,4,F,1938-06-12,1995-07-08,6.0
22751,Male,n/a,Greek Cypriot,n/a,Puplic Company,Teachers / Professors,52.268309,3,F,1952-01-23,1995-07-08,2.0
23023,Female,n/a,Greek Cypriot,n/a,Housewife,n/a,50.587269,3,F,1953-09-28,1995-07-08,0.0
23292,Female,n/a,British,n/a,Housewife,n/a,62.086242,1,F,1942-03-30,1995-07-08,0.0
23563,Male,n/a,British,n/a,Private Company / Partnership,Clerical Staff,61.240246,4,F,1943-02-02,1995-07-08,1.0
23768,Male,n/a,Other,n/a,Retired,n/a,63.644079,3,F,1940-09-07,1995-07-08,5.0
23974,Female,n/a,British,n/a,Retired,n/a,58.992471,1,F,1945-05-03,1995-07-08,3.0
24123,Female,n/a,British,n/a,Housewife,n/a,59.789185,4,F,1944-07-16,1995-07-08,6.0
24234,Male,n/a,Other,n/a,Private Company / Partnership,Other Businessmen,44.520192,4,F,1959-10-23,1992-10-15,4.0
24391,Male,n/a,British,n/a,Retired,n/a,76.131417,3,F,1928-03-13,1995-07-08,1.0
24619,Male,n/a,British,n/a,n/a,Others,53.848049,1,F,1950-06-25,1995-07-08,6.0
24846,Male,n/a,Greek Cypriot,n/a,Elementary Student,n/a,20.303901,2,F,1984-01-10,1992-12-16,1.0
25116,Female,Married,British,n/a,Housewife,n/a,40.911704,1,F,1963-06-02,1993-01-05,6.0
25351,Male,n/a,British,n/a,n/a,Others,73.607118,4,F,1930-09-21,1993-01-19,6.0
25542,Female,Married,British,n/a,n/a,Clerical Staff,60.818617,4,F,1943-07-06,1993-02-05,1.0
25650,Male,n/a,Greek,n/a,Selfemployed,Other Businessmen,45.798768,2,F,1958-07-13,1993-02-18,6.0
25949,Male,n/a,Greek Cypriot,n/a,Government - Semi-Government,Broker/Financial Advisor,103.326489,1,F,1901-01-01,1993-03-22,1.0
26110,Male,n/a,Other,n/a,n/a,Other Businessmen,53.344285,5,F,1950-12-26,1993-04-07,1.0
26254,Male,n/a,Other,n/a,Private Company / Partnership,MILITARY,52.052019,2,F,1952-04-11,1993-04-21,4.0
26352,Male,n/a,British,n/a,Retired,n/a,67.55373,4,F,1936-10-10,1993-04-30,5.0
26560,Female,n/a,Greek Cypriot,n/a,Selfemployed,Other Businessmen,38.976044,2,T,1965-05-09,1993-05-19,6.0
26631,Male,n/a,Other,n/a,Private Company / Partnership,Other Professionals,46.234086,3,F,1958-02-04,1993-05-25,1.0
26767,Female,n/a,British,n/a,n/a,Other Businessmen,39.178645,3,F,1965-02-24,1993-06-08,2.0
26962,Male,n/a,Other,n/a,Private Company / Partnership,Other Businessmen,45.289528,3,F,1959-01-15,1993-06-25,3.0
27143,Female,n/a,Greek Cypriot,n/a,Secondary Student,n/a,18.119097,2,T,1986-03-18,1993-07-12,1.0
27245,Male,n/a,Other,n/a,n/a,Others,36.558522,4,F,1967-10-09,1993-07-20,0.0
27350,Male,n/a,Greek Cypriot,n/a,n/a,Salesmen,64.454483,5,F,1939-11-16,1993-07-27,3.0
27614,Male,n/a,Other,n/a,n/a,Other Businessmen,64.859685,3,F,1939-06-21,1993-08-18,2.0
27793,Female,n/a,Greek Cypriot,n/a,n/a,Others,93.327858,1,F,1911-01-01,1993-09-01,6.0
27969,Male,n/a,Other,n/a,n/a,Others,37.295003,3,T,1967-01-13,1993-09-13,4.0
28054,Male,n/a,British,n/a,Government - Semi-Government,Clerical Staff,56.328542,3,F,1948-01-01,1993-09-20,3.0
28304,Female,Single,Greek Cypriot,n/a,Selfemployed,Other Businessmen,31.843943,4,F,1972-06-26,1993-10-06,0.0
28400,Male,n/a,Other,n/a,Private Company / Partnership,Other Businessmen,39.575633,1,T,1964-10-02,1993-10-13,4.0
28624,Female,n/a,British,n/a,Retired,n/a,64.501027,1,F,1939-10-30,1993-11-02,0.0
28800,Female,n/a,Lebanese,n/a,n/a,Other Businessmen,39.690623,3,T,1964-08-21,1993-11-17,4.0
29006,Female,n/a,Other,n/a,Private Company / Partnership,Teachers / Professors,38.099932,4,F,1966-03-25,1993-12-07,4.0
29150,Female,Married,Other,n/a,Private Company / Partnership,Technicians,41.864476,2,F,1962-06-19,1993-12-20,1.0
29499,Female,n/a,Other,n/a,Retired,n/a,67.033539,2,F,1937-04-18,1994-01-10,6.0
29685,Male,Married,Greek,Secondary,Private Company / Partnership,Skilled Worker,51.438741,3,F,1952-11-21,1994-01-21,4.0
29910,Male,Married,British,n/a,n/a,Other Businessmen,52.977413,4,F,1951-05-09,1994-02-04,2.0
30023,Male,n/a,British,n/a,Government - Semi-Government,Technicians,49.609856,1,F,1954-09-20,1994-02-15,0.0
30346,Male,n/a,Greek Cypriot,n/a,Selfemployed,Other Professionals,54.217659,5,F,1950-02-10,1994-02-28,4.0
30558,Female,n/a,British,n/a,Retired,n/a,72.054757,1,F,1932-04-10,1994-03-08,6.0
30780,Male,n/a,Other,n/a,Retired,n/a,61.117043,1,F,1943-03-19,1994-03-21,4.0
30915,Male,n/a,Greek Cypriot,n/a,Private Company / Partnership,Technicians,55.383984,4,F,1948-12-11,1994-03-29,5.0
31142,Female,Married,Other,n/a,Retired,n/a,58.505133,4,F,1945-10-28,1994-04-13,6.0
31368,Male,Married,Greek Cypriot,n/a,Selfemployed,Other Businessmen,59.578371,6,F,1944-10-01,1994-04-28,6.0
31487,Female,n/a,Greek Cypriot,n/a,n/a,Doctors,46.55989,3,F,1957-10-08,1994-05-09,1.0
31742,Male,Single,British,n/a,Government - Semi-Government,MILITARY,38.198494,4,F,1966-02-17,1994-05-20,3.0
31985,Female,n/a,Greek Cypriot,n/a,Selfemployed,Other Businessmen,52.104038,4,F,1952-03-23,1994-06-02,6.0
32144,Male,n/a,Other,n/a,Private Company / Partnership,Other Businessmen,44.52293,3,F,1959-10-22,1994-06-13,3.0
32264,Male,n/a,Other,n/a,Private Company / Partnership,Other Professionals,67.063655,3,F,1937-04-07,1994-06-22,2.0
32491,Male,n/a,British,n/a,Retired,n/a,70.272416,4,F,1934-01-21,1994-07-06,6.0
32678,Male,n/a,Greek Cypriot,n/a,Private Company / Partnership,Other Professionals,37.853525,4,T,1966-06-23,1994-07-18,3.0
32842,Female,n/a,British,n/a,Retired,n/a,70.245038,1,F,1934-01-31,1994-07-27,2.0
32944,Female,Married,Other,College/University,Private Company / Partnership,Teachers / Professors,38.30527,4,T,1966-01-09,1994-08-01,6.0
33077,Female,Single,Greek Cypriot,College/University,University - College Student,n/a,23.978097,3,F,1980-05-08,1994-08-08,3.0
33251,Male,n/a,Other,n/a,n/a,Others,37.062286,3,T,1967-04-08,1994-08-18,5.0
33470,Male,Married,British,Professional qualification,n/a,Other Professionals,60.572211,2,F,1943-10-04,1994-08-29,0.0
33596,Male,n/a,Russians,n/a,Private Company / Partnership,Merchants,43.362081,1,F,1960-12-19,1994-09-02,0.0
33756,Male,n/a,Greek,n/a,n/a,Teachers / Professors,65.741273,2,F,1938-08-03,1994-09-09,2.0
33902,Female,n/a,British,n/a,Housewife,n/a,62.327173,1,F,1942-01-01,1994-09-16,3.0
34204,Female,n/a,Other,n/a,n/a,MILITARY,48.908966,2,F,1955-06-03,1994-09-29,4.0
34360,Female,n/a,Other,n/a,Housewife,n/a,74.327173,5,F,1930-01-01,1994-10-07,2.0
34484,Male,n/a,Other,n/a,n/a,Other Professionals,44.498289,2,F,1959-10-31,1994-10-14,5.0
34684,Male,n/a,British,n/a,Retired,n/a,62.028747,4,F,1942-04-20,1994-10-26,0.0
34764,Female,n/a,British,n/a,Housewife,n/a,57.44011,1,F,1946-11-21,1994-11-01,3.0
34865,Female,n/a,British,n/a,Retired,n/a,60.632444,1,F,1943-09-12,1994-11-07,6.0
35065,Female,n/a,British,n/a,Housewife,n/a,47.92334,4,F,1956-05-28,1994-11-21,0.0
35468,Female,n/a,Other,n/a,Private Company / Partnership,Other Businessmen,28.657084,4,F,1975-09-03,1994-12-12,2.0
35551,Female,n/a,Servoi-Mavrovounioi,n/a,n/a,Other Businessmen,45.01848,1,F,1959-04-24,1994-12-19,4.0
35825,Female,Married,Other,n/a,Private Company / Partnership,Skilled Worker,45.952088,3,F,1958-05-18,1995-01-02,6.0
36015,Male,n/a,British,n/a,Government - Semi-Government,Other Professionals,37.574264,3,F,1966-10-03,1995-01-10,0.0
36235,Male,n/a,Other,n/a,Private Company / Partnership,Other Professionals,49.481177,3,F,1954-11-06,1995-01-20,5.0
36390,Male,Married,Greek,n/a,n/a,Teachers / Professors,43.12115,6,F,1961-03-17,1995-02-01,4.0
36541,Female,n/a,Greek Cypriot,n/a,University - College Student,n/a,33.779603,1,F,1970-07-20,1995-02-10,0.0
36639,Male,n/a,Other,n/a,n/a,Others,34.973306,3,T,1969-05-10,1995-02-21,5.0
36795,Female,n/a,British,n/a,Private Company / Partnership,Clerical Staff,35.613963,3,F,1968-09-18,1995-03-03,2.0
36895,Female,Married,British,n/a,Private Company / Partnership,Clerical Staff,52.826831,1,F,1951-07-03,1995-03-10,1.0
36981,Female,n/a,Other,n/a,Housewife,n/a,39.991786,1,F,1964-05-03,1995-03-16,6.0
37146,Female,n/a,British,n/a,Housewife,Housewives,59.937029,4,F,1944-05-23,1995-03-27,1.0
37275,Male,n/a,Other,n/a,Selfemployed,Other Businessmen,32.262834,2,F,1972-01-25,1995-04-04,1.0
37432,Male,n/a,Other,n/a,Retired,n/a,71.123888,1,F,1933-03-16,1995-04-14,3.0
37500,Male,n/a,British,n/a,n/a,Other Businessmen,62.642026,4,F,1941-09-08,1995-04-19,0.0
37583,Female,n/a,Other,n/a,n/a,Others,44.068446,1,F,1960-04-05,1995-04-28,1.0
37649,Female,n/a,Greek Cypriot,n/a,n/a,Other Businessmen,34.327173,1,F,1970-01-01,1995-05-02,3.0
37724,Male,n/a,Other,n/a,Housewife,n/a,38.138261,6,F,1966-03-11,1995-05-05,4.0
37831,Male,n/a,Other,n/a,Private Company / Partnership,Other Businessmen,45.582478,4,F,1958-09-30,1995-05-11,1.0
37957,Male,n/a,Greek Cypriot,n/a,Selfemployed,Technicians,47.411362,2,F,1956-12-01,1995-05-19,5.0
38065,Female,n/a,Greek,n/a,n/a,Others,36.832307,1,F,1967-07-01,1995-05-26,5.0
38166,Male,n/a,Other,n/a,n/a,Students,36.372348,2,T,1967-12-16,1995-06-02,5.0
38291,Male,n/a,Other,n/a,Private Company / Partnership,Clerical Staff,51.326489,1,F,1953-01-01,1995-06-09,3.0
38421,Male,n/a,Russians,n/a,Private Company / Partnership,SENIOR MANAGER,32.29295,2,F,1972-01-14,1995-06-20,4.0
38556,Female,n/a,British,n/a,Housewife,n/a,47.058179,1,F,1957-04-09,1995-06-29,1.0
38701,Male,n/a,Other,n/a,Private Company / Partnership,Other Businessmen,34.715948,2,F,1969-08-12,1995-07-07,1.0
38791,Female,Single,Greek Cypriot,n/a,Government - Semi-Government,Teachers / Professors,53.552361,4,F,1950-10-11,1995-07-13,2.0
38937,Female,n/a,British,n/a,Housewife,n/a,54.472279,1,F,1949-11-09,1995-07-25,2.0
39050,Male,n/a,Russians,n/a,n/a,Others,63.655031,1,F,1940-09-03,1995-07-31,1.0
39135,Female,Married,British,n/a,Housewife,n/a,56.903491,2,F,1947-06-05,1995-08-04,3.0
39204,Female,n/a,British,n/a,Housewife,n/a,59.208761,3,F,1945-02-13,1995-08-09,1.0
39371,Female,n/a,Other,n/a,n/a,Unskilled Worker,43.969884,3,F,1960-05-11,1995-08-22,2.0
39482,Male,n/a,British,n/a,n/a,Others,36.142368,1,F,1968-03-09,1995-08-28,5.0
39599,Male,n/a,Other,n/a,Private Company / Partnership,Salesmen,43.753593,6,F,1960-07-29,1995-09-04,4.0
39724,Female,n/a,British,n/a,Retired,n/a,66.63655,3,F,1937-09-10,1995-09-11,4.0
39928,Male,n/a,Russians,n/a,Private Company / Partnership,Other Businessmen,57.598905,5,F,1946-09-24,1995-09-22,1.0
40034,Male,n/a,Russians,n/a,n/a,Other Businessmen,52.073922,3,F,1952-04-03,1995-09-28,3.0
40117,Male,n/a,Other,n/a,n/a,Students,28.120465,2,T,1976-03-17,1995-10-03,2.0
40240,Male,Married,British,n/a,Retired,n/a,53.727584,3,F,1950-08-08,1995-10-10,1.0
40421,Female,n/a,Servoi-Mavrovounioi,n/a,Private Company / Partnership,Other Businessmen,59.693361,3,F,1944-08-20,1995-10-19,6.0
40540,Male,Married,British,n/a,Unemployed,Architects/Civil Eng/Land,44.257358,4,F,1960-01-27,1995-10-26,2.0
40613,Male,n/a,Greek Cypriot,n/a,Private Company / Partnership,Other Businessmen,66.784394,3,F,1937-07-18,1995-10-31,6.0
40676,Male,n/a,Other,n/a,Unemployed,Unskilled Worker,33.081451,2,T,1971-04-01,1995-11-03,3.0
40772,Female,Married,British,n/a,Housewife,n/a,41.505818,1,F,1962-10-28,1995-11-13,6.0
40872,Male,n/a,Other,n/a,n/a,Other Businessmen,46.277892,3,F,1958-01-19,1995-11-20,6.0
41019,Male,n/a,Greek Cypriot,n/a,Private Company / Partnership,Other Businessmen,59.268994,4,F,1945-01-22,1995-11-30,0.0
41077,Male,Single,Greek,n/a,Government - Semi-Government,Clerical Staff,28.539357,3,F,1975-10-16,1995-12-05,3.0
41155,Male,Single,Greek,n/a,Government - Semi-Government,MILITARY,32.265572,4,F,1972-01-24,1995-12-08,0.0
41207,Female,n/a,Other,n/a,Private Company / Partnership,Other Professionals,37.546886,3,F,1966-10-13,1995-12-12,3.0
41278,Male,n/a,Greek,n/a,Private Company / Partnership,Unskilled Worker,27.958932,2,T,1976-05-15,1995-12-18,5.0
41362,Male,Married,Greek,n/a,Government - Semi-Government,MILITARY,34.182067,4,F,1970-02-23,1995-12-22,0.0
41530,Male,n/a,Greek Cypriot,n/a,Elementary Student,n/a,17.683778,2,F,1986-08-24,1996-01-03,6.0
41647,Male,n/a,Greek,n/a,Private Company / Partnership,Other Professionals,33.256674,2,F,1971-01-27,1996-01-08,2.0
41746,Female,Married,Russians,n/a,Housewife,n/a,38.433949,2,F,1965-11-23,1996-01-11,1.0
41776,Male,Married,Other,College/University,Selfemployed,Architects/Civil Eng/Land,38.685832,2,F,1965-08-23,1996-01-12,0.0
41915,Male,n/a,Other,n/a,Selfemployed,Other Businessmen,46.825462,5,F,1957-07-03,1996-01-22,2.0
42013,Female,n/a,British,n/a,Housewife,n/a,58.299795,1,F,1946-01-11,1996-01-29,4.0
42048,Male,Single,Greek,n/a,Government - Semi-Government,Clerical Staff,29.24846,3,F,1975-01-30,1996-01-29,3.0
42144,Male,n/a,Other,n/a,n/a,Students,34.250513,2,T,1970-01-29,1996-02-02,3.0
42248,Male,n/a,British,n/a,Puplic Company,Clerical Staff,68.884326,5,F,1935-06-12,1996-02-12,2.0
42377,Male,n/a,Russians,n/a,Private Company / Partnership,Clerical Staff,40.626968,1,F,1963-09-14,1996-02-20,5.0
42452,Male,n/a,Greek Cypriot,n/a,Private Company / Partnership,Other Businessmen,63.748118,5,F,1940-07-31,1996-02-23,2.0
42503,Male,n/a,Greek,n/a,Government - Semi-Government,Broker/Financial Advisor,29.768652,4,T,1974-07-24,1996-03-01,2.0
42592,Male,n/a,Other,n/a,n/a,Other Businessmen,58.921287,2,F,1945-05-29,1996-03-07,1.0
42687,Female,n/a,British,n/a,Private Company / Partnership,Skilled Worker,32.736482,4,F,1971-08-05,1996-03-13,3.0
42778,Female,Divorced,Greek Cypriot,n/a,Private Company / Partnership,Middle Manager,43.15948,1,F,1961-03-03,1996-03-20,4.0
42813,Male,n/a,Russians,n/a,n/a,Other Businessmen,52.328542,3,F,1952-01-01,1996-03-26,1.0
42924,Female,n/a,Russians,n/a,Housewife,n/a,47.140315,1,F,1957-03-10,1996-04-03,6.0
42989,Male,Single,Greek,n/a,n/a,MILITARY,36.024641,1,T,1968-04-21,1996-04-08,6.0
43066,Male,n/a,Greek Cypriot,n/a,n/a,Others,51.011636,1,F,1953-04-26,1996-04-17,6.0
43104,Female,n/a,British,n/a,Private Company / Partnership,Other Professionals,44.0,4,F,1960-04-30,1996-04-17,5.0
43198,Male,n/a,Other,n/a,Private Company / Partnership,Other Businessmen,44.818617,5,F,1959-07-06,1996-04-22,0.0
43310,Male,n/a,Russians,n/a,n/a,Other Businessmen,40.958248,1,F,1963-05-16,1996-04-29,3.0
43426,Female,Married,Greek Cypriot,n/a,Private Company / Partnership,Skilled Worker,33.169062,2,F,1971-02-28,1996-05-06,6.0
43546,Female,Married,Lebanese,n/a,Housewife,n/a,46.973306,2,F,1957-05-10,1996-05-10,4.0
43648,Male,Married,Other,College/University,Private Company / Partnership,Other Professionals,35.835729,4,F,1968-06-29,1996-05-20,5.0
43719,Female,n/a,Other,n/a,n/a,Others,36.328542,1,F,1968-01-01,1996-05-23,0.0
43882,Female,n/a,Russians,n/a,Housewife,n/a,53.010267,3,F,1951-04-27,1996-06-04,4.0
43948,Female,n/a,Greek Cypriot,n/a,n/a,Unskilled Worker,51.994524,2,F,1952-05-02,1996-06-07,4.0
44035,Female,n/a,Other,n/a,Housewife,n/a,34.05065,1,F,1970-04-12,1996-06-12,6.0
44068,Male,Single,Greek,n/a,Government - Semi-Government,MILITARY,29.612594,2,T,1974-09-19,1996-06-13,3.0
44088,Male,n/a,Greek,n/a,Government - Semi-Government,Clerical Staff,34.327173,3,F,1970-01-01,1996-06-13,3.0
44103,Male,Single,Greek,n/a,Government - Semi-Government,MILITARY,29.327858,3,F,1975-01-01,1996-06-14,2.0
44126,Male,n/a,Greek,n/a,Government - Semi-Government,Clerical Staff,35.764545,3,F,1968-07-25,1996-06-14,3.0
44211,Female,n/a,Russians,n/a,n/a,MILITARY,41.078713,1,F,1963-04-02,1996-06-19,1.0
44293,Male,n/a,Greek Cypriot,n/a,n/a,Other Businessmen,48.087611,3,F,1956-03-29,1996-06-24,3.0
44348,Male,n/a,Other,n/a,Selfemployed,Other Professionals,43.942505,4,F,1960-05-21,1996-06-27,5.0
44441,Female,n/a,Other,n/a,Housewife,n/a,25.34976,3,T,1978-12-24,1996-07-03,6.0
